"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","infomedicament.beta.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","infomedicament.beta.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","infomedicament.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","infomedicament.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","infomedicament.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","infomedicament.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","infomedicament.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","infomedicament.beta.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","infomedicament.beta.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","infomedicament.beta.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","infomedicament.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","infomedicament.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","infomedicament.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","infomedicament.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","infomedicament.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","infomedicament.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","infomedicament.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG_FS","infomedicament.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order-tls1_2","infomedicament.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"cipherorder_TLSv1_2","infomedicament.beta.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","infomedicament.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"FS","infomedicament.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","infomedicament.beta.gouv.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","infomedicament.beta.gouv.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
