"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","HTTP","",""
"pre_128cipher","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","No 128 cipher limit bug","",""
"SSLv2","disinfo.quaidorsay.fr/198.244.157.26","443","OK","not offered","",""
"SSLv3","disinfo.quaidorsay.fr/198.244.157.26","443","OK","not offered","",""
"TLS1","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","not offered","",""
"TLS1_1","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","not offered","",""
"TLS1_2","disinfo.quaidorsay.fr/198.244.157.26","443","OK","offered","",""
"TLS1_3","disinfo.quaidorsay.fr/198.244.157.26","443","OK","offered with final","",""
"ALPN_HTTP2","disinfo.quaidorsay.fr/198.244.157.26","443","OK","h2","",""
"ALPN","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","http/1.1","",""
"cipherlist_NULL","disinfo.quaidorsay.fr/198.244.157.26","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","disinfo.quaidorsay.fr/198.244.157.26","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","disinfo.quaidorsay.fr/198.244.157.26","443","OK","not offered","","CWE-327"
"cipherlist_LOW","disinfo.quaidorsay.fr/198.244.157.26","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","disinfo.quaidorsay.fr/198.244.157.26","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","not offered","",""
"cipherlist_STRONG_FS","disinfo.quaidorsay.fr/198.244.157.26","443","OK","offered","",""
"cipher_order-tls1_2","disinfo.quaidorsay.fr/198.244.157.26","443","OK","server","",""
"cipherorder_TLSv1_2","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","disinfo.quaidorsay.fr/198.244.157.26","443","OK","server","",""
"FS","disinfo.quaidorsay.fr/198.244.157.26","443","OK","offered","",""
"FS_ciphers","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_KEMs","disinfo.quaidorsay.fr/198.244.157.26","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","disinfo.quaidorsay.fr/198.244.157.26","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","yes","",""
"sessionresumption_ticket","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","supported","",""
"sessionresumption_ID","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","supported","",""
"TLS_timestamp","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","random","",""
"certificate_compression","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","none","",""
"clientAuth","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","none","",""
"cert_numbers","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","1","",""
"cert_signatureAlgorithm","disinfo.quaidorsay.fr/198.244.157.26","443","OK","SHA256 with RSA","",""
"cert_keySize","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","disinfo.quaidorsay.fr/198.244.157.26","443","INFO","Digital Signature, Key Encipherment","",""
