"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","HTTP","",""
"pre_128cipher","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","No 128 cipher limit bug","",""
"SSLv2","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","OK","not offered","",""
"SSLv3","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","OK","not offered","",""
"TLS1","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","not offered","",""
"TLS1_1","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","not offered","",""
"TLS1_2","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","OK","offered","",""
"TLS1_3","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","OK","offered with final","",""
"ALPN_HTTP2","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","OK","h2","",""
"ALPN","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","http/1.1","",""
"cipherlist_NULL","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","OK","not offered","","CWE-327"
"cipherlist_LOW","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","not offered","",""
"cipherlist_STRONG_FS","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","OK","offered","",""
"cipher_order-tls1_2","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","OK","server","",""
"cipherorder_TLSv1_2","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","OK","server","",""
"FS","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","OK","offered","",""
"FS_ciphers","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","yes","",""
"sessionresumption_ticket","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","not supported","",""
"sessionresumption_ID","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","not supported","",""
"TLS_timestamp","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","random","",""
"certificate_compression","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","none","",""
"clientAuth","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","none","",""
"cert_numbers","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","1","",""
"cert_signatureAlgorithm","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","OK","SHA256 with RSA","",""
"cert_keySize","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","06F506DC256AAD10925C3A2ADEFFE7EBD92F","",""
"cert_serialNumberLen","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","18","",""
"cert_fingerprintSHA1","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","CB27E3A0BFBFAFEF99629019706EFCF48206F6E3","",""
"cert_fingerprintSHA256","recommandations-collaboratives.beta.gouv.fr/185.31.40.26","443","INFO","1DBB98AD36FB7B9DBEAABFBBFA84AA082287BC32DF53C0BB25683FC78D08C96B","",""
