"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","HTTP","",""
"pre_128cipher","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","No 128 cipher limit bug","",""
"SSLv2","osmose.numerique.gouv.fr/148.253.96.234","443","OK","not offered","",""
"SSLv3","osmose.numerique.gouv.fr/148.253.96.234","443","OK","not offered","",""
"TLS1","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","not offered","",""
"TLS1_1","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","not offered","",""
"TLS1_2","osmose.numerique.gouv.fr/148.253.96.234","443","OK","offered","",""
"TLS1_3","osmose.numerique.gouv.fr/148.253.96.234","443","OK","offered with final","",""
"ALPN_HTTP2","osmose.numerique.gouv.fr/148.253.96.234","443","OK","h2","",""
"ALPN","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","http/1.1","",""
"cipherlist_NULL","osmose.numerique.gouv.fr/148.253.96.234","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","osmose.numerique.gouv.fr/148.253.96.234","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","osmose.numerique.gouv.fr/148.253.96.234","443","OK","not offered","","CWE-327"
"cipherlist_LOW","osmose.numerique.gouv.fr/148.253.96.234","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","osmose.numerique.gouv.fr/148.253.96.234","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","not offered","",""
"cipherlist_STRONG","osmose.numerique.gouv.fr/148.253.96.234","443","OK","offered","",""
"cipher_order","osmose.numerique.gouv.fr/148.253.96.234","443","OK","server","",""
"protocol_negotiated","osmose.numerique.gouv.fr/148.253.96.234","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","osmose.numerique.gouv.fr/148.253.96.234","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","osmose.numerique.gouv.fr/148.253.96.234","443","OK","offered","",""
"FS_ciphers","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","osmose.numerique.gouv.fr/148.253.96.234","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","yes","",""
"sessionresumption_ticket","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","not supported","",""
"sessionresumption_ID","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","supported","",""
"TLS_timestamp","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","random","",""
"certificate_compression","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","none","",""
"clientAuth","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","none","",""
"cert_numbers","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","1","",""
"cert_signatureAlgorithm","osmose.numerique.gouv.fr/148.253.96.234","443","OK","SHA256 with RSA","",""
"cert_keySize","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","20BE80BAF8B03C2B04542146A471C502","",""
"cert_serialNumberLen","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","16","",""
"cert_fingerprintSHA1","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","138E3282A50A8889AC11A801DC90206B1DF3BE12","",""
"cert_fingerprintSHA256","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","648FC1CD9E5BFE17BAA03EF9AD331F130FE77BABD4750A6171733996965B8324","",""
