"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","HTTP","",""
"pre_128cipher","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","No 128 cipher limit bug","",""
"SSLv2","osmose.numerique.gouv.fr/148.253.96.234","443","OK","not offered","",""
"SSLv3","osmose.numerique.gouv.fr/148.253.96.234","443","OK","not offered","",""
"TLS1","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","not offered","",""
"TLS1_1","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","not offered","",""
"TLS1_2","osmose.numerique.gouv.fr/148.253.96.234","443","OK","offered","",""
"TLS1_3","osmose.numerique.gouv.fr/148.253.96.234","443","OK","offered with final","",""
"ALPN_HTTP2","osmose.numerique.gouv.fr/148.253.96.234","443","OK","h2","",""
"ALPN","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","http/1.1","",""
"cipherlist_NULL","osmose.numerique.gouv.fr/148.253.96.234","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","osmose.numerique.gouv.fr/148.253.96.234","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","osmose.numerique.gouv.fr/148.253.96.234","443","OK","not offered","","CWE-327"
"cipherlist_LOW","osmose.numerique.gouv.fr/148.253.96.234","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","not offered","",""
"cipherlist_STRONG_FS","osmose.numerique.gouv.fr/148.253.96.234","443","OK","offered","",""
"cipher_order-tls1_2","osmose.numerique.gouv.fr/148.253.96.234","443","OK","server","",""
"cipherorder_TLSv1_2","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","osmose.numerique.gouv.fr/148.253.96.234","443","OK","server","",""
"FS","osmose.numerique.gouv.fr/148.253.96.234","443","OK","offered","",""
"FS_ciphers","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","osmose.numerique.gouv.fr/148.253.96.234","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","yes","",""
"sessionresumption_ticket","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","not supported","",""
"sessionresumption_ID","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","supported","",""
"TLS_timestamp","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","random","",""
"certificate_compression","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","none","",""
"clientAuth","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","none","",""
"cert_numbers","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","1","",""
"cert_signatureAlgorithm","osmose.numerique.gouv.fr/148.253.96.234","443","OK","SHA256 with RSA","",""
"cert_keySize","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","TLS Web Client Authentication, TLS Web Server Authentication","",""
"cert_serialNumber","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","5C78019F85E4F3F3B6EE76E45B983457","",""
"cert_serialNumberLen","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","16","",""
"cert_fingerprintSHA1","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","51A67FB6FBEFFD32AC490441D2DB7C8B49F9C705","",""
"cert_fingerprintSHA256","osmose.numerique.gouv.fr/148.253.96.234","443","INFO","C34BC8AA0F012E75F42CFE92D4C3206F46E4AEA2A908CED4BACD0A9392C9A3E9","",""
