"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","HTTP","",""
"pre_128cipher","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","No 128 cipher limit bug","",""
"SSLv2","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","not offered","",""
"SSLv3","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","not offered","",""
"TLS1","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","not offered","",""
"TLS1_1","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","not offered","",""
"TLS1_2","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","offered","",""
"TLS1_3","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","offered with final","",""
"ALPN_HTTP2","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","h2","",""
"ALPN","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","http/1.1","",""
"cipherlist_NULL","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","not offered","","CWE-327"
"cipherlist_LOW","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","offered","",""
"cipherlist_STRONG_FS","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","offered","",""
"cipher_order-tls1_2","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","server","",""
"cipherorder_TLSv1_2","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","server","",""
"FS","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","offered","",""
"FS_ciphers","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","yes","",""
"sessionresumption_ticket","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","not supported","",""
"sessionresumption_ID","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","not supported","",""
"TLS_timestamp","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","random","",""
"certificate_compression","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","none","",""
"clientAuth","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","none","",""
"cert_numbers","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","1","",""
"cert_signatureAlgorithm","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","OK","SHA256 with RSA","",""
"cert_keySize","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","043254198AD0C0F8691BC3CD77DCB953850B","",""
"cert_serialNumberLen","deveco.incubateur.anct.gouv.fr/51.159.10.161","443","INFO","18","",""
