"id","fqdn/ip","port","severity","finding","cve","cwe"
"optimal_proto","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","mon.franceconnect.gouv.fr:443 appears to support TLS 1.3 ONLY, switching from /home/testssl/bin/openssl.Linux.x86_64 to /usr/bin/openssl automagically","",""
"service","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","HTTP","",""
"pre_128cipher","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","not offered","",""
"SSLv3","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","not offered","",""
"TLS1","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","not offered","",""
"TLS1_1","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","not offered","",""
"TLS1_2","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","not offered","",""
"TLS1_3","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","offered with final","",""
"ALPN","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","http/1.1","",""
"cipherlist_NULL","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mon.franceconnect.gouv.fr/148.253.96.161","443","MEDIUM","not offered","",""
"cipher_order","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","server (TLS 1.3)","",""
"FS","mon.franceconnect.gouv.fr/148.253.96.161","443","MEDIUM","No ciphers supporting Forward Secrecy offered","",""
"TLS_extensions","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","'server name/#0' 'supported versions/#43' 'key share/#51'","",""
"TLS_session_ticket","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","no","",""
"sessionresumption_ticket","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","not supported","",""
"sessionresumption_ID","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","random","",""
"certificate_compression","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","none","",""
"clientAuth","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","none","",""
"cert_numbers","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","1","",""
"cert_signatureAlgorithm","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","ECDSA with SHA384","",""
"cert_keySize","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","Digital Signature","",""
"cert_extKeyUsage","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","03395D23A69EB1AD965686D88426C9EF77E4","",""
"cert_serialNumberLen","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","18","",""
"cert_fingerprintSHA1","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","F40EC02463764BEE742CFEC82CD95C525AB6299B","",""
"cert_fingerprintSHA256","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","B1144BB6B07138570668E913650722BB73BF7BBEFD339ABA7600CB7263DA7D50","",""
"cert","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDkTCCAxegAwIBAgISAzldI6aesa2WVobYhCbJ73fkMAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFNjAeFw0yNTAyMTAxNDAxNTdaFw0yNTA1MTExNDAxNTZaMCQxIjAgBgNVBAMTGW1vbi5mcmFuY2Vjb25uZWN0LmdvdXYuZnIwWTATBgcqhkjOPQIBBggqhkjOPQMBBwNCAARh5xZ3278ukfvdCq5JGfzVnZP2Zt5WQP4AhpQaM5c8WHGTi6PE70KmAFhlFmOaXt38BT2m7zRH3ZSYzDM0ibFZo4ICGTCCAhUwDgYDVR0PAQH/BAQDAgeAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBTnuGfMRI7EVPEu/LhoRppT2ifcTDAfBgNVHSMEGDAWgBSTJ0aYA6lRaI6Y1sRCSNsjv1iU0jBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGGFWh0dHA6Ly9lNi5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL2U2LmkubGVuY3Iub3JnLzAkBgNVHREEHTAbghltb24uZnJhbmNlY29ubmVjdC5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBAgYKKwYBBAHWeQIEAgSB8wSB8ADuAHUA5tIxY0B3jMEQQQbXcbnOwdJA9paEhvu6hzId/R43jlAAAAGU8GBA+AAABAMARjBEAiB4NO3L4azDZuB+BwKttDGzxgWglufS0EXatwb+fbiSmAIgQFBWjDf5oKa5kkTARneWca0sAzgN+EYAwvEcP4ZPtCkAdQDM+w9qhXEJZf6Vm1PO6bJ8IumFXA2XjbapflTA/kwNsAAAAZTwYEEgAAAEAwBGMEQCICB45PTwkhbH+4a+SgTKFCTCW3L8z2sIr2ELo/ry/j2TAiA041RGi/ArWyk4pg7WpB7BlrfqNqViDlG8jDa5Uy7B/jAKBggqhkjOPQQDAwNoADBlAjBgO7kABKlEvP47KByLrT8k2UUzPX/f9hUJfvWeyv8+wIJW42Tb2ikLkFhrRpq/BDcCMQCPWauSxHZRKH4GCwPC21LkHNwsdGoJfVEyTvjzYmwCnLrP/Ft1g8MeZQ0ViPXNPNs=\n-----END CERTIFICATE-----","",""
"cert_commonName","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","mon.franceconnect.gouv.fr","",""
"cert_commonName_wo_SNI","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","*.dev-franceconnect.fr","",""
"cert_subjectAltName","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","mon.franceconnect.gouv.fr","",""
"cert_trust","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","mon.franceconnect.gouv.fr/148.253.96.161","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","passed.","",""
"cert_certificatePolicies_EV","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","no","",""
"cert_expirationStatus","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","49 >= 30 days","",""
"cert_notBefore","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","2025-02-10 14:01","",""
"cert_notAfter","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","2025-05-11 14:01","",""
"cert_extlifeSpan","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","not present","",""
"cert_crlDistributionPoints","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","--","",""
"cert_ocspURL","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","http://e6.o.lencr.org","",""
"OCSP_stapling","mon.franceconnect.gouv.fr/148.253.96.161","443","LOW","not offered","",""
"cert_mustStapleExtension","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","--","",""
"DNS_CAArecord","mon.franceconnect.gouv.fr/148.253.96.161","443","LOW","--","",""
"certificate_transparency","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","yes (certificate extension)","",""
"certs_countServer","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","3","",""
"certs_list_ordering_problem","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","no","",""
"cert_caIssuers","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","E6 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEVzCCAj+gAwIBAgIRALBXPpFzlydw27SHyzpFKzgwDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjQwMzEzMDAwMDAwWhcNMjcwMzEyMjM1OTU5WjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDELMAkGA1UEAxMCRTYwdjAQBgcqhkjOPQIBBgUrgQQAIgNiAATZ8Z5Gh/ghcWCoJuuj+rnq2h25EqfUJtlRFLFhfHWWvyILOR/VvtEKRqotPEoJhC6+QJVV6RlAN2Z17TJOdwRJ+HB7wxjnzvdxEP6sdNgA1O1tHHMWMxCcOrLqbGL0vbijgfgwgfUwDgYDVR0PAQH/BAQDAgGGMB0GA1UdJQQWMBQGCCsGAQUFBwMCBggrBgEFBQcDATASBgNVHRMBAf8ECDAGAQH/AgEAMB0GA1UdDgQWBBSTJ0aYA6lRaI6Y1sRCSNsjv1iU0jAfBgNVHSMEGDAWgBR5tFnme7bl5AFzgAiIyBpY9umbbjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly94MS5pLmxlbmNyLm9yZy8wEwYDVR0gBAwwCjAIBgZngQwBAgEwJwYDVR0fBCAwHjAcoBqgGIYWaHR0cDovL3gxLmMubGVuY3Iub3JnLzANBgkqhkiG9w0BAQsFAAOCAgEAfYt7SiA1sgWGCIpunk46r4AExIRcMxkKgUhNlrrv1B21hOaXN/5miE+LOTbrcmU/M9yvC6MVY730GNFoL8IhJ8j8vrOLpMY22OP6baS1k9YMrtDTlwJHoGby04ThTUeBDksS9RiuHvicZqBedQdIF65pZuhpeDcGBcLiYasQr/EO5gxxtLyTmgsHSOVSBcFOn9lgv7LECPq9i7mfH3mpxgrRKSxHpOoZ0KXMcB+hHuvlklHntvcI0mMMQ0mhYj6qtMFStkF1RpCG3IPdIwpVCQqu8GV7s8ubknRzs+3C/Bm19RFOoiPpDkwvyNfvmQ14XkyqqKK5oZ8zhD32kFRQkxa8uZSuh4aTImFxknu39waBxIRXE4jKxlAmQc4QjFZoq1KmQqQg0J/1JF8RlFvJas1VcjLvYlvUB2t6npO6oQjB3l+PNf0DpQH7iUx3Wz5AjQCi6L25FjyE06q6BZ/QlmtYdl/8ZYao4SRqPEs/6cAiF+Qf5zg2UkaWtDphl1LKMuTNLotvsX99HP69V2faNyegodQ0LyTApr/vT01YPE46vNsDLgK+4cL6TrzC/a4WcmF5SRJ938zrv/duJHLXQIku5v0+EwOy59Hdm0PT/Er/84dDV0CSjdR/2XuZM3kpysSKLgD1cKiDA+IRguODCxfO9cyYIg46v9mFmBvyH04=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","76E9E288AAFC0E37F4390CBF946AAD997D5C1C901B3CE513D3D8FADBABE2AB85","",""
"intermediate_cert_notBefore <#1>","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","mon.franceconnect.gouv.fr/148.253.96.161","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","mon.franceconnect.gouv.fr/148.253.96.161","443","INFO","E6 <-- ISRG Root X1","",""
