"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","world.openfoodfacts.org/213.36.253.214","443","INFO","HTTP","",""
"pre_128cipher","world.openfoodfacts.org/213.36.253.214","443","INFO","No 128 cipher limit bug","",""
"SSLv2","world.openfoodfacts.org/213.36.253.214","443","OK","not offered","",""
"SSLv3","world.openfoodfacts.org/213.36.253.214","443","OK","not offered","",""
"TLS1","world.openfoodfacts.org/213.36.253.214","443","INFO","not offered","",""
"TLS1_1","world.openfoodfacts.org/213.36.253.214","443","INFO","not offered","",""
"TLS1_2","world.openfoodfacts.org/213.36.253.214","443","OK","offered","",""
"TLS1_3","world.openfoodfacts.org/213.36.253.214","443","OK","offered with final","",""
"ALPN_HTTP2","world.openfoodfacts.org/213.36.253.214","443","OK","h2","",""
"ALPN","world.openfoodfacts.org/213.36.253.214","443","INFO","http/1.1","",""
"cipherlist_NULL","world.openfoodfacts.org/213.36.253.214","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","world.openfoodfacts.org/213.36.253.214","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","world.openfoodfacts.org/213.36.253.214","443","OK","not offered","","CWE-327"
"cipherlist_LOW","world.openfoodfacts.org/213.36.253.214","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","world.openfoodfacts.org/213.36.253.214","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","world.openfoodfacts.org/213.36.253.214","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","world.openfoodfacts.org/213.36.253.214","443","INFO","not offered","",""
"cipherlist_STRONG_FS","world.openfoodfacts.org/213.36.253.214","443","OK","offered","",""
"cipher_order-tls1_2","world.openfoodfacts.org/213.36.253.214","443","OK","server","",""
"cipherorder_TLSv1_2","world.openfoodfacts.org/213.36.253.214","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","world.openfoodfacts.org/213.36.253.214","443","OK","server","",""
"FS","world.openfoodfacts.org/213.36.253.214","443","OK","offered","",""
"FS_ciphers","world.openfoodfacts.org/213.36.253.214","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","world.openfoodfacts.org/213.36.253.214","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","world.openfoodfacts.org/213.36.253.214","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","world.openfoodfacts.org/213.36.253.214","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","world.openfoodfacts.org/213.36.253.214","443","INFO","yes","",""
"sessionresumption_ticket","world.openfoodfacts.org/213.36.253.214","443","INFO","not supported","",""
"sessionresumption_ID","world.openfoodfacts.org/213.36.253.214","443","INFO","not supported","",""
"TLS_timestamp","world.openfoodfacts.org/213.36.253.214","443","INFO","random","",""
"certificate_compression","world.openfoodfacts.org/213.36.253.214","443","INFO","none","",""
"clientAuth","world.openfoodfacts.org/213.36.253.214","443","INFO","none","",""
"cert_numbers","world.openfoodfacts.org/213.36.253.214","443","INFO","1","",""
"cert_signatureAlgorithm","world.openfoodfacts.org/213.36.253.214","443","OK","SHA256 with RSA","",""
"cert_keySize","world.openfoodfacts.org/213.36.253.214","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","world.openfoodfacts.org/213.36.253.214","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","world.openfoodfacts.org/213.36.253.214","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","world.openfoodfacts.org/213.36.253.214","443","INFO","0608C655021650D519960AF491F08D63B1DD","",""
"cert_serialNumberLen","world.openfoodfacts.org/213.36.253.214","443","INFO","18","",""
"cert_fingerprintSHA1","world.openfoodfacts.org/213.36.253.214","443","INFO","03CB8855AF328355193C6B30C38DA35EC7ED6A05","",""
"cert_fingerprintSHA256","world.openfoodfacts.org/213.36.253.214","443","INFO","A0C23D9166C95F3E7851B56608DFBFBE2AD5C83BED3D99EB7C17910E7B61052A","",""
