"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mrs.beta.gouv.fr/162.19.18.40","443","INFO","HTTP","",""
"pre_128cipher","mrs.beta.gouv.fr/162.19.18.40","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mrs.beta.gouv.fr/162.19.18.40","443","OK","not offered","",""
"SSLv3","mrs.beta.gouv.fr/162.19.18.40","443","OK","not offered","",""
"TLS1","mrs.beta.gouv.fr/162.19.18.40","443","INFO","not offered","",""
"TLS1_1","mrs.beta.gouv.fr/162.19.18.40","443","INFO","not offered","",""
"TLS1_2","mrs.beta.gouv.fr/162.19.18.40","443","OK","offered","",""
"TLS1_3","mrs.beta.gouv.fr/162.19.18.40","443","OK","offered with final","",""
"ALPN_HTTP2","mrs.beta.gouv.fr/162.19.18.40","443","OK","h2","",""
"ALPN","mrs.beta.gouv.fr/162.19.18.40","443","INFO","http/1.1","",""
"cipherlist_NULL","mrs.beta.gouv.fr/162.19.18.40","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mrs.beta.gouv.fr/162.19.18.40","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mrs.beta.gouv.fr/162.19.18.40","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mrs.beta.gouv.fr/162.19.18.40","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mrs.beta.gouv.fr/162.19.18.40","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mrs.beta.gouv.fr/162.19.18.40","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","mrs.beta.gouv.fr/162.19.18.40","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mrs.beta.gouv.fr/162.19.18.40","443","OK","offered","",""
"cipher_order-tls1_2","mrs.beta.gouv.fr/162.19.18.40","443","OK","server","",""
"cipherorder_TLSv1_2","mrs.beta.gouv.fr/162.19.18.40","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","mrs.beta.gouv.fr/162.19.18.40","443","OK","server -- TLS 1.3 client determined","",""
"FS","mrs.beta.gouv.fr/162.19.18.40","443","OK","offered","",""
"FS_ciphers","mrs.beta.gouv.fr/162.19.18.40","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","mrs.beta.gouv.fr/162.19.18.40","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","mrs.beta.gouv.fr/162.19.18.40","443","INFO","'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","mrs.beta.gouv.fr/162.19.18.40","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","mrs.beta.gouv.fr/162.19.18.40","443","INFO","yes","",""
"sessionresumption_ticket","mrs.beta.gouv.fr/162.19.18.40","443","INFO","not supported","",""
"sessionresumption_ID","mrs.beta.gouv.fr/162.19.18.40","443","INFO","not supported","",""
"TLS_timestamp","mrs.beta.gouv.fr/162.19.18.40","443","INFO","random","",""
"certificate_compression","mrs.beta.gouv.fr/162.19.18.40","443","INFO","none","",""
"clientAuth","mrs.beta.gouv.fr/162.19.18.40","443","INFO","none","",""
"cert_numbers","mrs.beta.gouv.fr/162.19.18.40","443","INFO","1","",""
"cert_signatureAlgorithm","mrs.beta.gouv.fr/162.19.18.40","443","OK","SHA256 with RSA","",""
"cert_keySize","mrs.beta.gouv.fr/162.19.18.40","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","mrs.beta.gouv.fr/162.19.18.40","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","mrs.beta.gouv.fr/162.19.18.40","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","mrs.beta.gouv.fr/162.19.18.40","443","INFO","05A264BD70F86FCE26A5BB0D28E3AD6CAADF","",""
"cert_serialNumberLen","mrs.beta.gouv.fr/162.19.18.40","443","INFO","18","",""
"cert_fingerprintSHA1","mrs.beta.gouv.fr/162.19.18.40","443","INFO","CB352158220572892A7D67E8302E9D6AB320BD0C","",""
"cert_fingerprintSHA256","mrs.beta.gouv.fr/162.19.18.40","443","INFO","5B9E83A9E92B18466B0EF49DE8CDB6AE1E49CB23E2B2B115CF50A4E267C6ADD3","",""
