"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","INFO","HTTP","",""
"pre_128cipher","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","INFO","No 128 cipher limit bug","",""
"SSLv2","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","OK","not offered","",""
"SSLv3","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","OK","not offered","",""
"TLS1","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","INFO","not offered","",""
"TLS1_1","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","INFO","not offered","",""
"TLS1_2","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","OK","offered","",""
"TLS1_3","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","OK","offered with final","",""
"ALPN_HTTP2","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","OK","h2","",""
"ALPN","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","INFO","http/1.1","",""
"cipherlist_NULL","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","OK","not offered","","CWE-327"
"cipherlist_LOW","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","INFO","not offered","",""
"cipherlist_STRONG_FS","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","OK","offered","",""
"cipher_order-tls1_2","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","INFO","NOT a server cipher order configured","",""
"FS","resorption-bidonvilles.beta.gouv.fr/51.178.137.38","443","OK","offered","",""
