"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pad.incubateur.net/148.253.75.120","443","INFO","HTTP","",""
"pre_128cipher","pad.incubateur.net/148.253.75.120","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pad.incubateur.net/148.253.75.120","443","OK","not offered","",""
"SSLv3","pad.incubateur.net/148.253.75.120","443","OK","not offered","",""
"TLS1","pad.incubateur.net/148.253.75.120","443","INFO","not offered","",""
"TLS1_1","pad.incubateur.net/148.253.75.120","443","INFO","not offered","",""
"TLS1_2","pad.incubateur.net/148.253.75.120","443","OK","offered","",""
"TLS1_3","pad.incubateur.net/148.253.75.120","443","OK","offered with final","",""
"ALPN_HTTP2","pad.incubateur.net/148.253.75.120","443","OK","h2","",""
"ALPN","pad.incubateur.net/148.253.75.120","443","INFO","http/1.1","",""
"cipherlist_NULL","pad.incubateur.net/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pad.incubateur.net/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pad.incubateur.net/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pad.incubateur.net/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pad.incubateur.net/148.253.75.120","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pad.incubateur.net/148.253.75.120","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pad.incubateur.net/148.253.75.120","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pad.incubateur.net/148.253.75.120","443","OK","offered","",""
"cipher_order-tls1_2","pad.incubateur.net/148.253.75.120","443","OK","server","",""
"cipherorder_TLSv1_2","pad.incubateur.net/148.253.75.120","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","pad.incubateur.net/148.253.75.120","443","OK","server","",""
"FS","pad.incubateur.net/148.253.75.120","443","OK","offered","",""
"FS_ciphers","pad.incubateur.net/148.253.75.120","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
