"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","panoramax.fr/35.185.44.232","443","INFO","HTTP","",""
"pre_128cipher","panoramax.fr/35.185.44.232","443","INFO","No 128 cipher limit bug","",""
"SSLv2","panoramax.fr/35.185.44.232","443","OK","not offered","",""
"SSLv3","panoramax.fr/35.185.44.232","443","OK","not offered","",""
"TLS1","panoramax.fr/35.185.44.232","443","INFO","not offered","",""
"TLS1_1","panoramax.fr/35.185.44.232","443","INFO","not offered","",""
"TLS1_2","panoramax.fr/35.185.44.232","443","OK","offered","",""
"TLS1_3","panoramax.fr/35.185.44.232","443","OK","offered with final","",""
"ALPN_HTTP2","panoramax.fr/35.185.44.232","443","OK","h2","",""
"ALPN","panoramax.fr/35.185.44.232","443","INFO","http/1.1","",""
"cipherlist_NULL","panoramax.fr/35.185.44.232","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","panoramax.fr/35.185.44.232","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","panoramax.fr/35.185.44.232","443","OK","not offered","","CWE-327"
"cipherlist_LOW","panoramax.fr/35.185.44.232","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","panoramax.fr/35.185.44.232","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","panoramax.fr/35.185.44.232","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","panoramax.fr/35.185.44.232","443","INFO","not offered","",""
"cipherlist_STRONG_FS","panoramax.fr/35.185.44.232","443","OK","offered","",""
"cipher_order-tls1_2","panoramax.fr/35.185.44.232","443","OK","server","",""
"cipherorder_TLSv1_2","panoramax.fr/35.185.44.232","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","panoramax.fr/35.185.44.232","443","OK","server -- TLS 1.3 client determined","",""
"FS","panoramax.fr/35.185.44.232","443","OK","offered","",""
"FS_ciphers","panoramax.fr/35.185.44.232","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","panoramax.fr/35.185.44.232","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","panoramax.fr/35.185.44.232","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","panoramax.fr/35.185.44.232","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","panoramax.fr/35.185.44.232","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","panoramax.fr/35.185.44.232","443","INFO","yes","",""
"sessionresumption_ticket","panoramax.fr/35.185.44.232","443","INFO","not supported","",""
"sessionresumption_ID","panoramax.fr/35.185.44.232","443","INFO","not supported","",""
"TLS_timestamp","panoramax.fr/35.185.44.232","443","INFO","random","",""
"certificate_compression","panoramax.fr/35.185.44.232","443","INFO","none","",""
"clientAuth","panoramax.fr/35.185.44.232","443","INFO","none","",""
"cert_numbers","panoramax.fr/35.185.44.232","443","INFO","1","",""
"cert_signatureAlgorithm","panoramax.fr/35.185.44.232","443","OK","SHA256 with RSA","",""
"cert_keySize","panoramax.fr/35.185.44.232","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","panoramax.fr/35.185.44.232","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","panoramax.fr/35.185.44.232","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","panoramax.fr/35.185.44.232","443","INFO","06F42B73779C428EA92F1D259362304D7FB0","",""
"cert_serialNumberLen","panoramax.fr/35.185.44.232","443","INFO","18","",""
"cert_fingerprintSHA1","panoramax.fr/35.185.44.232","443","INFO","90DE98564ACD0F7DE0F5DE04620989B44136B0A9","",""
"cert_fingerprintSHA256","panoramax.fr/35.185.44.232","443","INFO","CFEEDEB1C23F181E9EED1E7D38729A6AFB71FC454A33CD99DFF7F31505771045","",""
