"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","monprojetsup.fr/163.172.174.124","443","INFO","HTTP","",""
"pre_128cipher","monprojetsup.fr/163.172.174.124","443","INFO","No 128 cipher limit bug","",""
"SSLv2","monprojetsup.fr/163.172.174.124","443","OK","not offered","",""
"SSLv3","monprojetsup.fr/163.172.174.124","443","OK","not offered","",""
"TLS1","monprojetsup.fr/163.172.174.124","443","INFO","not offered","",""
"TLS1_1","monprojetsup.fr/163.172.174.124","443","INFO","not offered","",""
"TLS1_2","monprojetsup.fr/163.172.174.124","443","OK","offered","",""
"TLS1_3","monprojetsup.fr/163.172.174.124","443","OK","offered with final","",""
"ALPN_HTTP2","monprojetsup.fr/163.172.174.124","443","OK","h2","",""
"ALPN","monprojetsup.fr/163.172.174.124","443","INFO","http/1.1","",""
"cipherlist_NULL","monprojetsup.fr/163.172.174.124","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","monprojetsup.fr/163.172.174.124","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","monprojetsup.fr/163.172.174.124","443","OK","not offered","","CWE-327"
"cipherlist_LOW","monprojetsup.fr/163.172.174.124","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","monprojetsup.fr/163.172.174.124","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","monprojetsup.fr/163.172.174.124","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","monprojetsup.fr/163.172.174.124","443","INFO","not offered","",""
"cipherlist_STRONG_FS","monprojetsup.fr/163.172.174.124","443","OK","offered","",""
"cipher_order-tls1_2","monprojetsup.fr/163.172.174.124","443","OK","server","",""
"cipherorder_TLSv1_2","monprojetsup.fr/163.172.174.124","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","monprojetsup.fr/163.172.174.124","443","OK","server -- TLS 1.3 client determined","",""
"FS","monprojetsup.fr/163.172.174.124","443","OK","offered","",""
"FS_ciphers","monprojetsup.fr/163.172.174.124","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","monprojetsup.fr/163.172.174.124","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","monprojetsup.fr/163.172.174.124","443","OK","secp384r1 secp521r1","",""
"TLS_extensions","monprojetsup.fr/163.172.174.124","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","monprojetsup.fr/163.172.174.124","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","monprojetsup.fr/163.172.174.124","443","INFO","yes","",""
"sessionresumption_ticket","monprojetsup.fr/163.172.174.124","443","INFO","not supported","",""
"sessionresumption_ID","monprojetsup.fr/163.172.174.124","443","INFO","not supported","",""
"TLS_timestamp","monprojetsup.fr/163.172.174.124","443","INFO","random","",""
"certificate_compression","monprojetsup.fr/163.172.174.124","443","INFO","none","",""
"clientAuth","monprojetsup.fr/163.172.174.124","443","INFO","none","",""
"cert_numbers","monprojetsup.fr/163.172.174.124","443","INFO","1","",""
"cert_signatureAlgorithm","monprojetsup.fr/163.172.174.124","443","OK","SHA256 with RSA","",""
"cert_keySize","monprojetsup.fr/163.172.174.124","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","monprojetsup.fr/163.172.174.124","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","monprojetsup.fr/163.172.174.124","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","monprojetsup.fr/163.172.174.124","443","INFO","059DAF3312A28154E81BFC943D91D1B58E36","",""
"cert_serialNumberLen","monprojetsup.fr/163.172.174.124","443","INFO","18","",""
"cert_fingerprintSHA1","monprojetsup.fr/163.172.174.124","443","INFO","19C73B64EA483BA5128E4B42C1256D167916E509","",""
"cert_fingerprintSHA256","monprojetsup.fr/163.172.174.124","443","INFO","AF4A022922074BF592D9EA855E92CDCF67568554BEEC72591ABA696200D81D08","",""
