"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","HTTP","",""
"pre_128cipher","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mes-aides.pole-emploi.fr/51.83.34.111","443","OK","not offered","",""
"SSLv3","mes-aides.pole-emploi.fr/51.83.34.111","443","OK","not offered","",""
"TLS1","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","not offered","",""
"TLS1_1","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","not offered","",""
"TLS1_2","mes-aides.pole-emploi.fr/51.83.34.111","443","OK","offered","",""
"TLS1_3","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","mes-aides.pole-emploi.fr/51.83.34.111","443","OK","h2","",""
"ALPN","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","http/1.1","",""
"cipherlist_NULL","mes-aides.pole-emploi.fr/51.83.34.111","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mes-aides.pole-emploi.fr/51.83.34.111","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mes-aides.pole-emploi.fr/51.83.34.111","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mes-aides.pole-emploi.fr/51.83.34.111","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mes-aides.pole-emploi.fr/51.83.34.111","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","mes-aides.pole-emploi.fr/51.83.34.111","443","OK","offered","",""
"cipherlist_STRONG_FS","mes-aides.pole-emploi.fr/51.83.34.111","443","OK","offered","",""
"cipher_order-tls1_2","mes-aides.pole-emploi.fr/51.83.34.111","443","OK","server","",""
"cipherorder_TLSv1_2","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","mes-aides.pole-emploi.fr/51.83.34.111","443","OK","server","",""
"FS","mes-aides.pole-emploi.fr/51.83.34.111","443","OK","offered","",""
"FS_ciphers","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","mes-aides.pole-emploi.fr/51.83.34.111","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","'server name/#0' 'max fragment length/#1' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","yes","",""
"sessionresumption_ticket","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","supported","",""
"sessionresumption_ID","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","supported","",""
"TLS_timestamp","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","random","",""
"cert_compression","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","N/A","",""
"clientAuth","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","none","",""
"cert_numbers","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","1","",""
"cert_signatureAlgorithm","mes-aides.pole-emploi.fr/51.83.34.111","443","OK","SHA256 with RSA","",""
"cert_keySize","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","262476676DFF9E852BB0AF2447869FB8","",""
"cert_serialNumberLen","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","16","",""
"cert_fingerprintSHA1","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","12B7C4E2F63FDBC1C1F734DC949286E70F1F1FAB","",""
"cert_fingerprintSHA256","mes-aides.pole-emploi.fr/51.83.34.111","443","INFO","594A86E95CA4CD8582EEABC72593677EB7844502C59506D636DED99EAD1CAF54","",""
