"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","potentiel.beta.gouv.fr/87.98.180.173","443","INFO","HTTP","",""
"pre_128cipher","potentiel.beta.gouv.fr/87.98.180.173","443","INFO","No 128 cipher limit bug","",""
"SSLv2","potentiel.beta.gouv.fr/87.98.180.173","443","OK","not offered","",""
"SSLv3","potentiel.beta.gouv.fr/87.98.180.173","443","OK","not offered","",""
"TLS1","potentiel.beta.gouv.fr/87.98.180.173","443","INFO","not offered","",""
"TLS1_1","potentiel.beta.gouv.fr/87.98.180.173","443","INFO","not offered","",""
"TLS1_2","potentiel.beta.gouv.fr/87.98.180.173","443","OK","offered","",""
"TLS1_3","potentiel.beta.gouv.fr/87.98.180.173","443","OK","offered with final","",""
"ALPN","potentiel.beta.gouv.fr/87.98.180.173","443","INFO","not offered","",""
"cipherlist_NULL","potentiel.beta.gouv.fr/87.98.180.173","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","potentiel.beta.gouv.fr/87.98.180.173","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","potentiel.beta.gouv.fr/87.98.180.173","443","OK","not offered","","CWE-327"
"cipherlist_LOW","potentiel.beta.gouv.fr/87.98.180.173","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","potentiel.beta.gouv.fr/87.98.180.173","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","potentiel.beta.gouv.fr/87.98.180.173","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","potentiel.beta.gouv.fr/87.98.180.173","443","OK","offered","",""
"cipherlist_STRONG","potentiel.beta.gouv.fr/87.98.180.173","443","OK","offered","",""
"cipher_order","potentiel.beta.gouv.fr/87.98.180.173","443","OK","server","",""
"protocol_negotiated","potentiel.beta.gouv.fr/87.98.180.173","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","potentiel.beta.gouv.fr/87.98.180.173","443","OK","TLS_AES_256_GCM_SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","potentiel.beta.gouv.fr/87.98.180.173","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","potentiel.beta.gouv.fr/87.98.180.173","443","OK","offered","",""
"FS_ciphers","potentiel.beta.gouv.fr/87.98.180.173","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","potentiel.beta.gouv.fr/87.98.180.173","443","OK","prime256v1","",""
