"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","HTTP","",""
"pre_128cipher","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","No 128 cipher limit bug","",""
"SSLv2","declare-douane.beta.gouv.fr/91.208.207.222","443","OK","not offered","",""
"SSLv3","declare-douane.beta.gouv.fr/91.208.207.222","443","OK","not offered","",""
"TLS1","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","not offered","",""
"TLS1_1","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","not offered","",""
"TLS1_2","declare-douane.beta.gouv.fr/91.208.207.222","443","OK","offered","",""
"TLS1_3","declare-douane.beta.gouv.fr/91.208.207.222","443","OK","offered with final","",""
"ALPN","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","http/1.1","",""
"cipherlist_NULL","declare-douane.beta.gouv.fr/91.208.207.222","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","declare-douane.beta.gouv.fr/91.208.207.222","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","declare-douane.beta.gouv.fr/91.208.207.222","443","OK","not offered","","CWE-327"
"cipherlist_LOW","declare-douane.beta.gouv.fr/91.208.207.222","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","not offered","",""
"cipherlist_STRONG_FS","declare-douane.beta.gouv.fr/91.208.207.222","443","OK","offered","",""
"cipher_order-tls1_2","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","declare-douane.beta.gouv.fr/91.208.207.222","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","declare-douane.beta.gouv.fr/91.208.207.222","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","NOT a server cipher order configured","",""
"FS","declare-douane.beta.gouv.fr/91.208.207.222","443","OK","offered","",""
"FS_ciphers","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","declare-douane.beta.gouv.fr/91.208.207.222","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","'server name/#0' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","yes","",""
"sessionresumption_ticket","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","not supported","",""
"sessionresumption_ID","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","not supported","",""
"TLS_timestamp","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","random","",""
"certificate_compression","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","none","",""
"clientAuth","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","none","",""
"cert_numbers","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","1","",""
"cert_signatureAlgorithm","declare-douane.beta.gouv.fr/91.208.207.222","443","OK","SHA256 with RSA","",""
"cert_keySize","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","0678F36E006E60E0550998253A86C2A2FAF6","",""
"cert_serialNumberLen","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","18","",""
"cert_fingerprintSHA1","declare-douane.beta.gouv.fr/91.208.207.222","443","INFO","9D90A19776BDA86B071C55720D5288685EF408CA","",""
