"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","assistant-declaration.beta.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","assistant-declaration.beta.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","assistant-declaration.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","assistant-declaration.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","assistant-declaration.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","assistant-declaration.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","assistant-declaration.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","assistant-declaration.beta.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","assistant-declaration.beta.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","assistant-declaration.beta.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","assistant-declaration.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","assistant-declaration.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","assistant-declaration.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","assistant-declaration.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","assistant-declaration.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","assistant-declaration.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","assistant-declaration.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG_FS","assistant-declaration.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order-tls1_2","assistant-declaration.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"cipherorder_TLSv1_2","assistant-declaration.beta.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","assistant-declaration.beta.gouv.fr/185.21.194.105","443","OK","server","",""
