"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","HTTP","",""
"pre_128cipher","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","No 128 cipher limit bug","",""
"SSLv2","monaide.cyber.gouv.fr/185.231.164.159","443","OK","not offered","",""
"SSLv3","monaide.cyber.gouv.fr/185.231.164.159","443","OK","not offered","",""
"TLS1","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","not offered","",""
"TLS1_1","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","not offered","",""
"TLS1_2","monaide.cyber.gouv.fr/185.231.164.159","443","OK","offered","",""
"TLS1_3","monaide.cyber.gouv.fr/185.231.164.159","443","OK","offered with final","",""
"ALPN_HTTP2","monaide.cyber.gouv.fr/185.231.164.159","443","OK","h2","",""
"ALPN","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","http/1.1","",""
"cipherlist_NULL","monaide.cyber.gouv.fr/185.231.164.159","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","monaide.cyber.gouv.fr/185.231.164.159","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","monaide.cyber.gouv.fr/185.231.164.159","443","OK","not offered","","CWE-327"
"cipherlist_LOW","monaide.cyber.gouv.fr/185.231.164.159","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","not offered","",""
"cipherlist_STRONG_FS","monaide.cyber.gouv.fr/185.231.164.159","443","OK","offered","",""
"cipher_order-tls1_2","monaide.cyber.gouv.fr/185.231.164.159","443","OK","server","",""
"cipherorder_TLSv1_2","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","monaide.cyber.gouv.fr/185.231.164.159","443","OK","server","",""
"FS","monaide.cyber.gouv.fr/185.231.164.159","443","OK","offered","",""
"FS_ciphers","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","monaide.cyber.gouv.fr/185.231.164.159","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","yes","",""
"sessionresumption_ticket","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","not supported","",""
"sessionresumption_ID","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","not supported","",""
"TLS_timestamp","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","random","",""
"certificate_compression","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","none","",""
"clientAuth","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","none","",""
"cert_numbers","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","1","",""
"cert_signatureAlgorithm","monaide.cyber.gouv.fr/185.231.164.159","443","OK","SHA256 with RSA","",""
"cert_keySize","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","A535679D93C48FCD38F1864D808798D1","",""
"cert_serialNumberLen","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","16","",""
"cert_fingerprintSHA1","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","6E8B1933EE905BEDFD63538EE66823718375FB1E","",""
"cert_fingerprintSHA256","monaide.cyber.gouv.fr/185.231.164.159","443","INFO","C3194EAED357AD4758CC39E0BC9FAFF768A88B880846141DFA53F586169FBFBE","",""
