"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","aplus.beta.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","aplus.beta.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","aplus.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","aplus.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","aplus.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","aplus.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","aplus.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","aplus.beta.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","aplus.beta.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","aplus.beta.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","aplus.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","aplus.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","aplus.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","aplus.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","aplus.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","aplus.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","aplus.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG_FS","aplus.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order-tls1_2","aplus.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"cipherorder_TLSv1_2","aplus.beta.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","aplus.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"FS","aplus.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","aplus.beta.gouv.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","aplus.beta.gouv.fr/185.21.194.105","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","aplus.beta.gouv.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","aplus.beta.gouv.fr/185.21.194.105","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","aplus.beta.gouv.fr/185.21.194.105","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","aplus.beta.gouv.fr/185.21.194.105","443","INFO","yes","",""
"sessionresumption_ticket","aplus.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"sessionresumption_ID","aplus.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"TLS_timestamp","aplus.beta.gouv.fr/185.21.194.105","443","INFO","random","",""
"certificate_compression","aplus.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"clientAuth","aplus.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"cert_numbers","aplus.beta.gouv.fr/185.21.194.105","443","INFO","1","",""
"cert_signatureAlgorithm","aplus.beta.gouv.fr/185.21.194.105","443","OK","SHA256 with RSA","",""
"cert_keySize","aplus.beta.gouv.fr/185.21.194.105","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","aplus.beta.gouv.fr/185.21.194.105","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","aplus.beta.gouv.fr/185.21.194.105","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","aplus.beta.gouv.fr/185.21.194.105","443","INFO","062E313E7A14C0EC209D220B5CFB570804D0","",""
"cert_serialNumberLen","aplus.beta.gouv.fr/185.21.194.105","443","INFO","18","",""
"cert_fingerprintSHA1","aplus.beta.gouv.fr/185.21.194.105","443","INFO","DF8F10B470776E266897C8BCD178B716850F3D77","",""
"cert_fingerprintSHA256","aplus.beta.gouv.fr/185.21.194.105","443","INFO","F20F5734CB3FBC9B59A9033CEC703E8FE4156EDD7C3EF6A376B8913B2F541A1B","",""
