"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","open-collectivites.fr/5.39.67.78","443","INFO","HTTP","",""
"pre_128cipher","open-collectivites.fr/5.39.67.78","443","INFO","No 128 cipher limit bug","",""
"SSLv2","open-collectivites.fr/5.39.67.78","443","OK","not offered","",""
"SSLv3","open-collectivites.fr/5.39.67.78","443","OK","not offered","",""
"TLS1","open-collectivites.fr/5.39.67.78","443","LOW","offered (deprecated)","",""
"TLS1_1","open-collectivites.fr/5.39.67.78","443","LOW","offered (deprecated)","",""
"TLS1_2","open-collectivites.fr/5.39.67.78","443","OK","offered","",""
"TLS1_3","open-collectivites.fr/5.39.67.78","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","open-collectivites.fr/5.39.67.78","443","INFO","http/1.1","",""
"cipherlist_NULL","open-collectivites.fr/5.39.67.78","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","open-collectivites.fr/5.39.67.78","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","open-collectivites.fr/5.39.67.78","443","OK","not offered","","CWE-327"
"cipherlist_LOW","open-collectivites.fr/5.39.67.78","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","open-collectivites.fr/5.39.67.78","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","open-collectivites.fr/5.39.67.78","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","open-collectivites.fr/5.39.67.78","443","OK","offered","",""
"cipherlist_STRONG_FS","open-collectivites.fr/5.39.67.78","443","OK","offered","",""
"cipher_order-tls1","open-collectivites.fr/5.39.67.78","443","OK","server","",""
"cipherorder_TLSv1","open-collectivites.fr/5.39.67.78","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_1","open-collectivites.fr/5.39.67.78","443","OK","server","",""
"cipherorder_TLSv1_1","open-collectivites.fr/5.39.67.78","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_2","open-collectivites.fr/5.39.67.78","443","OK","server","",""
"cipherorder_TLSv1_2","open-collectivites.fr/5.39.67.78","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
