"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","recosante.beta.gouv.fr/57.128.91.43","443","INFO","HTTP","",""
"pre_128cipher","recosante.beta.gouv.fr/57.128.91.43","443","INFO","No 128 cipher limit bug","",""
"SSLv2","recosante.beta.gouv.fr/57.128.91.43","443","OK","not offered","",""
"SSLv3","recosante.beta.gouv.fr/57.128.91.43","443","OK","not offered","",""
"TLS1","recosante.beta.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_1","recosante.beta.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_2","recosante.beta.gouv.fr/57.128.91.43","443","OK","offered","",""
"TLS1_3","recosante.beta.gouv.fr/57.128.91.43","443","OK","offered with final","",""
"ALPN_HTTP2","recosante.beta.gouv.fr/57.128.91.43","443","OK","h2","",""
"ALPN","recosante.beta.gouv.fr/57.128.91.43","443","INFO","http/1.1","",""
"cipherlist_NULL","recosante.beta.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","recosante.beta.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","recosante.beta.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_LOW","recosante.beta.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","recosante.beta.gouv.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","recosante.beta.gouv.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","recosante.beta.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"cipherlist_STRONG_FS","recosante.beta.gouv.fr/57.128.91.43","443","OK","offered","",""
"cipher_order-tls1_2","recosante.beta.gouv.fr/57.128.91.43","443","OK","server","",""
"cipherorder_TLSv1_2","recosante.beta.gouv.fr/57.128.91.43","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","recosante.beta.gouv.fr/57.128.91.43","443","OK","server","",""
"FS","recosante.beta.gouv.fr/57.128.91.43","443","OK","offered","",""
"FS_ciphers","recosante.beta.gouv.fr/57.128.91.43","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","recosante.beta.gouv.fr/57.128.91.43","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","recosante.beta.gouv.fr/57.128.91.43","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","recosante.beta.gouv.fr/57.128.91.43","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","recosante.beta.gouv.fr/57.128.91.43","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","recosante.beta.gouv.fr/57.128.91.43","443","INFO","yes","",""
"sessionresumption_ticket","recosante.beta.gouv.fr/57.128.91.43","443","INFO","not supported","",""
"sessionresumption_ID","recosante.beta.gouv.fr/57.128.91.43","443","INFO","not supported","",""
"TLS_timestamp","recosante.beta.gouv.fr/57.128.91.43","443","INFO","random","",""
"certificate_compression","recosante.beta.gouv.fr/57.128.91.43","443","INFO","none","",""
"clientAuth","recosante.beta.gouv.fr/57.128.91.43","443","INFO","none","",""
"cert_numbers","recosante.beta.gouv.fr/57.128.91.43","443","INFO","1","",""
"cert_signatureAlgorithm","recosante.beta.gouv.fr/57.128.91.43","443","OK","SHA256 with RSA","",""
"cert_keySize","recosante.beta.gouv.fr/57.128.91.43","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","recosante.beta.gouv.fr/57.128.91.43","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","recosante.beta.gouv.fr/57.128.91.43","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","recosante.beta.gouv.fr/57.128.91.43","443","INFO","0689660BF81C277028DF229BCA37A7BBD017","",""
"cert_serialNumberLen","recosante.beta.gouv.fr/57.128.91.43","443","INFO","18","",""
"cert_fingerprintSHA1","recosante.beta.gouv.fr/57.128.91.43","443","INFO","550DB66F06C470FFFBB1225189ED70017ACAD4AB","",""
"cert_fingerprintSHA256","recosante.beta.gouv.fr/57.128.91.43","443","INFO","1DEA46D7D3C5DC3BE8918150FDCAE42E87D26F7A925F8AD5E575362699E74035","",""
