"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","HTTP","",""
"pre_128cipher","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","OK","not offered","",""
"SSLv3","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","OK","not offered","",""
"TLS1","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","not offered","",""
"TLS1_1","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","not offered","",""
"TLS1_2","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","OK","offered","",""
"TLS1_3","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","OK","h2","",""
"ALPN","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","http/1.1","",""
"cipherlist_NULL","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","OK","offered","",""
"cipher_order-tls1_2","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","NOT a cipher order configured","",""
"FS","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","OK","offered","",""
"FS_ciphers","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","'server name/#0' 'max fragment length/#1' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","yes","",""
"sessionresumption_ticket","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","not supported","",""
"sessionresumption_ID","cestquilepro.inserjeunes.beta.gouv.fr/79.137.11.84","443","INFO","not supported","",""
