"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","diagoriente.beta.gouv.fr/141.94.175.156","443","INFO","HTTP","",""
"pre_128cipher","diagoriente.beta.gouv.fr/141.94.175.156","443","INFO","No 128 cipher limit bug","",""
"SSLv2","diagoriente.beta.gouv.fr/141.94.175.156","443","OK","not offered","",""
"SSLv3","diagoriente.beta.gouv.fr/141.94.175.156","443","OK","not offered","",""
"TLS1","diagoriente.beta.gouv.fr/141.94.175.156","443","INFO","not offered","",""
"TLS1_1","diagoriente.beta.gouv.fr/141.94.175.156","443","INFO","not offered","",""
"TLS1_2","diagoriente.beta.gouv.fr/141.94.175.156","443","OK","offered","",""
"TLS1_3","diagoriente.beta.gouv.fr/141.94.175.156","443","OK","offered with final","",""
"ALPN_HTTP2","diagoriente.beta.gouv.fr/141.94.175.156","443","OK","h2","",""
"ALPN","diagoriente.beta.gouv.fr/141.94.175.156","443","INFO","http/1.1","",""
"cipherlist_NULL","diagoriente.beta.gouv.fr/141.94.175.156","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","diagoriente.beta.gouv.fr/141.94.175.156","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","diagoriente.beta.gouv.fr/141.94.175.156","443","OK","not offered","","CWE-327"
"cipherlist_LOW","diagoriente.beta.gouv.fr/141.94.175.156","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","diagoriente.beta.gouv.fr/141.94.175.156","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","diagoriente.beta.gouv.fr/141.94.175.156","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","diagoriente.beta.gouv.fr/141.94.175.156","443","INFO","not offered","",""
"cipherlist_STRONG_FS","diagoriente.beta.gouv.fr/141.94.175.156","443","OK","offered","",""
"cipher_order-tls1_2","diagoriente.beta.gouv.fr/141.94.175.156","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","diagoriente.beta.gouv.fr/141.94.175.156","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","diagoriente.beta.gouv.fr/141.94.175.156","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","diagoriente.beta.gouv.fr/141.94.175.156","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","diagoriente.beta.gouv.fr/141.94.175.156","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
