"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","moana.beta.gouv.fr/80.247.13.145","443","INFO","HTTP","",""
"pre_128cipher","moana.beta.gouv.fr/80.247.13.145","443","INFO","No 128 cipher limit bug","",""
"SSLv2","moana.beta.gouv.fr/80.247.13.145","443","OK","not offered","",""
"SSLv3","moana.beta.gouv.fr/80.247.13.145","443","OK","not offered","",""
"TLS1","moana.beta.gouv.fr/80.247.13.145","443","INFO","not offered","",""
"TLS1_1","moana.beta.gouv.fr/80.247.13.145","443","INFO","not offered","",""
"TLS1_2","moana.beta.gouv.fr/80.247.13.145","443","OK","offered","",""
"TLS1_3","moana.beta.gouv.fr/80.247.13.145","443","OK","offered with final","",""
"ALPN_HTTP2","moana.beta.gouv.fr/80.247.13.145","443","OK","h2","",""
"ALPN","moana.beta.gouv.fr/80.247.13.145","443","INFO","http/1.1","",""
"cipherlist_NULL","moana.beta.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","moana.beta.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","moana.beta.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_LOW","moana.beta.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","moana.beta.gouv.fr/80.247.13.145","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","moana.beta.gouv.fr/80.247.13.145","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","moana.beta.gouv.fr/80.247.13.145","443","INFO","not offered","",""
"cipherlist_STRONG_FS","moana.beta.gouv.fr/80.247.13.145","443","OK","offered","",""
"cipher_order-tls1_2","moana.beta.gouv.fr/80.247.13.145","443","OK","server","",""
"cipherorder_TLSv1_2","moana.beta.gouv.fr/80.247.13.145","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","moana.beta.gouv.fr/80.247.13.145","443","OK","server","",""
"FS","moana.beta.gouv.fr/80.247.13.145","443","OK","offered","",""
"FS_ciphers","moana.beta.gouv.fr/80.247.13.145","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","moana.beta.gouv.fr/80.247.13.145","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","moana.beta.gouv.fr/80.247.13.145","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","moana.beta.gouv.fr/80.247.13.145","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","moana.beta.gouv.fr/80.247.13.145","443","INFO","yes","",""
"sessionresumption_ticket","moana.beta.gouv.fr/80.247.13.145","443","INFO","not supported","",""
"sessionresumption_ID","moana.beta.gouv.fr/80.247.13.145","443","INFO","not supported","",""
"TLS_timestamp","moana.beta.gouv.fr/80.247.13.145","443","INFO","random","",""
"certificate_compression","moana.beta.gouv.fr/80.247.13.145","443","INFO","none","",""
"clientAuth","moana.beta.gouv.fr/80.247.13.145","443","INFO","none","",""
"cert_numbers","moana.beta.gouv.fr/80.247.13.145","443","INFO","1","",""
"cert_signatureAlgorithm","moana.beta.gouv.fr/80.247.13.145","443","OK","SHA256 with RSA","",""
"cert_keySize","moana.beta.gouv.fr/80.247.13.145","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","moana.beta.gouv.fr/80.247.13.145","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","moana.beta.gouv.fr/80.247.13.145","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","moana.beta.gouv.fr/80.247.13.145","443","INFO","6E09E1F2B19D5111318E9622940165C6","",""
"cert_serialNumberLen","moana.beta.gouv.fr/80.247.13.145","443","INFO","16","",""
"cert_fingerprintSHA1","moana.beta.gouv.fr/80.247.13.145","443","INFO","E929AC82CD0A6C26D099BF2D908DB8B5BC93CDD5","",""
"cert_fingerprintSHA256","moana.beta.gouv.fr/80.247.13.145","443","INFO","D083F79D30E0699A26F27D09D4029CDCE5AFC3E08057A8E53F9AACF49A2762F3","",""
