"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","jafer.beta.gouv.fr/104.19.241.93","443","INFO","HTTP","",""
"pre_128cipher","jafer.beta.gouv.fr/104.19.241.93","443","INFO","No 128 cipher limit bug","",""
"SSLv2","jafer.beta.gouv.fr/104.19.241.93","443","OK","not offered","",""
"SSLv3","jafer.beta.gouv.fr/104.19.241.93","443","OK","not offered","",""
"TLS1","jafer.beta.gouv.fr/104.19.241.93","443","INFO","not offered","",""
"TLS1_1","jafer.beta.gouv.fr/104.19.241.93","443","INFO","not offered","",""
"TLS1_2","jafer.beta.gouv.fr/104.19.241.93","443","OK","offered","",""
"TLS1_3","jafer.beta.gouv.fr/104.19.241.93","443","OK","offered with final","",""
"ALPN_HTTP2","jafer.beta.gouv.fr/104.19.241.93","443","OK","h2","",""
"ALPN","jafer.beta.gouv.fr/104.19.241.93","443","INFO","http/1.1","",""
"cipherlist_NULL","jafer.beta.gouv.fr/104.19.241.93","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","jafer.beta.gouv.fr/104.19.241.93","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","jafer.beta.gouv.fr/104.19.241.93","443","OK","not offered","","CWE-327"
"cipherlist_LOW","jafer.beta.gouv.fr/104.19.241.93","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","jafer.beta.gouv.fr/104.19.241.93","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","jafer.beta.gouv.fr/104.19.241.93","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","jafer.beta.gouv.fr/104.19.241.93","443","OK","offered","",""
"cipherlist_STRONG_FS","jafer.beta.gouv.fr/104.19.241.93","443","OK","offered","",""
"cipher_order-tls1_2","jafer.beta.gouv.fr/104.19.241.93","443","OK","server","",""
"cipherorder_TLSv1_2","jafer.beta.gouv.fr/104.19.241.93","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","jafer.beta.gouv.fr/104.19.241.93","443","OK","server -- TLS 1.3 client determined","",""
"FS","jafer.beta.gouv.fr/104.19.241.93","443","OK","offered","",""
"FS_ciphers","jafer.beta.gouv.fr/104.19.241.93","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","jafer.beta.gouv.fr/104.19.241.93","443","OK","prime256v1","",""
"TLS_extensions","jafer.beta.gouv.fr/104.19.241.93","443","INFO","'server name/#0' 'renegotiation info/#65281' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'signed certificate timestamps/#18' 'EC point formats/#11' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","jafer.beta.gouv.fr/104.19.241.93","443","INFO","valid for 64799 seconds only (<daily)","",""
