"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","HTTP","",""
"pre_128cipher","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","No 128 cipher limit bug","",""
"SSLv2","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","not offered","",""
"SSLv3","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","not offered","",""
"TLS1","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","not offered","",""
"TLS1_1","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","not offered","",""
"TLS1_2","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","offered","",""
"TLS1_3","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","offered with final","",""
"ALPN_HTTP2","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","h2","",""
"ALPN","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","http/1.1","",""
"cipherlist_NULL","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","not offered","","CWE-327"
"cipherlist_LOW","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","not offered","",""
"cipherlist_STRONG_FS","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","offered","",""
"cipher_order-tls1_2","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","NOT a server cipher order configured","",""
"FS","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","offered","",""
"FS_ciphers","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","yes","",""
"sessionresumption_ticket","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","supported","",""
"sessionresumption_ID","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","supported","",""
"TLS_timestamp","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","random","",""
"certificate_compression","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","none","",""
"clientAuth","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","none","",""
"cert_numbers","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","1","",""
"cert_signatureAlgorithm","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","OK","SHA256 with RSA","",""
"cert_keySize","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","0575875D3D17836D625504AE7FEAAE17A192","",""
"cert_serialNumberLen","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","18","",""
"cert_fingerprintSHA1","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","49EE5297AEE2319C6733D8CA4CF72E0242428212","",""
"cert_fingerprintSHA256","openfisca.mes-aides.1jeune1solution.beta.gouv.fr/5.135.137.147","443","INFO","2CBC2C29E8962E45551B1C5984FA26FBB7BEB60A8D72DB3DD0A58043E8C902E4","",""
