"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","HTTP","",""
"pre_128cipher","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","No 128 cipher limit bug","",""
"SSLv2","api.trackdechets.beta.gouv.fr/185.179.149.96","443","OK","not offered","",""
"SSLv3","api.trackdechets.beta.gouv.fr/185.179.149.96","443","OK","not offered","",""
"TLS1","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","not offered","",""
"TLS1_1","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","not offered","",""
"TLS1_2","api.trackdechets.beta.gouv.fr/185.179.149.96","443","OK","offered","",""
"TLS1_3","api.trackdechets.beta.gouv.fr/185.179.149.96","443","OK","offered with final","",""
"ALPN_HTTP2","api.trackdechets.beta.gouv.fr/185.179.149.96","443","OK","h2","",""
"ALPN","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","http/1.1","",""
"cipherlist_NULL","api.trackdechets.beta.gouv.fr/185.179.149.96","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","api.trackdechets.beta.gouv.fr/185.179.149.96","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","api.trackdechets.beta.gouv.fr/185.179.149.96","443","OK","not offered","","CWE-327"
"cipherlist_LOW","api.trackdechets.beta.gouv.fr/185.179.149.96","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","api.trackdechets.beta.gouv.fr/185.179.149.96","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","not offered","",""
"cipherlist_STRONG_FS","api.trackdechets.beta.gouv.fr/185.179.149.96","443","OK","offered","",""
"cipher_order-tls1_2","api.trackdechets.beta.gouv.fr/185.179.149.96","443","OK","server","",""
"cipherorder_TLSv1_2","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","api.trackdechets.beta.gouv.fr/185.179.149.96","443","OK","server","",""
"FS","api.trackdechets.beta.gouv.fr/185.179.149.96","443","OK","offered","",""
"FS_ciphers","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","api.trackdechets.beta.gouv.fr/185.179.149.96","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","yes","",""
"sessionresumption_ticket","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","not supported","",""
"sessionresumption_ID","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","not supported","",""
"TLS_timestamp","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","random","",""
"certificate_compression","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","none","",""
"clientAuth","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","none","",""
"cert_numbers","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","1","",""
"cert_signatureAlgorithm","api.trackdechets.beta.gouv.fr/185.179.149.96","443","OK","SHA256 with RSA","",""
"cert_keySize","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","05F3645354B647107124B5E7BC8E7222886B","",""
"cert_serialNumberLen","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","18","",""
"cert_fingerprintSHA1","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","83888342CEDF1F4D7CBF5E5F88DFD69F221743A1","",""
"cert_fingerprintSHA256","api.trackdechets.beta.gouv.fr/185.179.149.96","443","INFO","5B85E6B52E485FF643662ADED50C27EA2D59B7251EC604233E87BD0DAFFC7FB3","",""
