"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","api.gouv.fr/149.202.190.28","443","INFO","HTTP","",""
"pre_128cipher","api.gouv.fr/149.202.190.28","443","INFO","No 128 cipher limit bug","",""
"SSLv2","api.gouv.fr/149.202.190.28","443","OK","not offered","",""
"SSLv3","api.gouv.fr/149.202.190.28","443","OK","not offered","",""
"TLS1","api.gouv.fr/149.202.190.28","443","INFO","not offered","",""
"TLS1_1","api.gouv.fr/149.202.190.28","443","INFO","not offered","",""
"TLS1_2","api.gouv.fr/149.202.190.28","443","OK","offered","",""
"TLS1_3","api.gouv.fr/149.202.190.28","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","api.gouv.fr/149.202.190.28","443","OK","h2","",""
"ALPN","api.gouv.fr/149.202.190.28","443","INFO","http/1.1","",""
"cipherlist_NULL","api.gouv.fr/149.202.190.28","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","api.gouv.fr/149.202.190.28","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","api.gouv.fr/149.202.190.28","443","OK","not offered","","CWE-327"
"cipherlist_LOW","api.gouv.fr/149.202.190.28","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","api.gouv.fr/149.202.190.28","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","api.gouv.fr/149.202.190.28","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","api.gouv.fr/149.202.190.28","443","OK","offered","",""
"cipherlist_STRONG","api.gouv.fr/149.202.190.28","443","OK","offered","",""
"cipher_order","api.gouv.fr/149.202.190.28","443","OK","server","",""
"protocol_negotiated","api.gouv.fr/149.202.190.28","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","api.gouv.fr/149.202.190.28","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 521 bit ECDH (P-521)","",""
"cipherorder_TLSv1_2","api.gouv.fr/149.202.190.28","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","api.gouv.fr/149.202.190.28","443","OK","offered","",""
"FS_ciphers","api.gouv.fr/149.202.190.28","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","api.gouv.fr/149.202.190.28","443","OK","secp384r1 secp521r1","",""
"TLS_extensions","api.gouv.fr/149.202.190.28","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","api.gouv.fr/149.202.190.28","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","api.gouv.fr/149.202.190.28","443","INFO","yes","",""
"sessionresumption_ticket","api.gouv.fr/149.202.190.28","443","INFO","not supported","",""
"sessionresumption_ID","api.gouv.fr/149.202.190.28","443","INFO","supported","",""
"TLS_timestamp","api.gouv.fr/149.202.190.28","443","INFO","random","",""
"cert_compression","api.gouv.fr/149.202.190.28","443","INFO","N/A","",""
"clientAuth","api.gouv.fr/149.202.190.28","443","INFO","none","",""
"cert_numbers","api.gouv.fr/149.202.190.28","443","INFO","1","",""
"cert_signatureAlgorithm","api.gouv.fr/149.202.190.28","443","OK","SHA256 with RSA","",""
"cert_keySize","api.gouv.fr/149.202.190.28","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","api.gouv.fr/149.202.190.28","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","api.gouv.fr/149.202.190.28","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","api.gouv.fr/149.202.190.28","443","INFO","03A51F14E315E9E5CBE2514A185C6ADCF012","",""
"cert_serialNumberLen","api.gouv.fr/149.202.190.28","443","INFO","18","",""
"cert_fingerprintSHA1","api.gouv.fr/149.202.190.28","443","INFO","3D1D605CC622FDE12C03B4F664AAF18C7FF1D666","",""
"cert_fingerprintSHA256","api.gouv.fr/149.202.190.28","443","INFO","0A07B8D52A110B52AECFBEC8BADEBC35541422904363090B1FCAD57E6DF3317A","",""
