"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","api.gouv.fr/149.202.190.28","443","INFO","HTTP","",""
"pre_128cipher","api.gouv.fr/149.202.190.28","443","INFO","No 128 cipher limit bug","",""
"SSLv2","api.gouv.fr/149.202.190.28","443","OK","not offered","",""
"SSLv3","api.gouv.fr/149.202.190.28","443","OK","not offered","",""
"TLS1","api.gouv.fr/149.202.190.28","443","INFO","not offered","",""
"TLS1_1","api.gouv.fr/149.202.190.28","443","INFO","not offered","",""
"TLS1_2","api.gouv.fr/149.202.190.28","443","OK","offered","",""
"TLS1_3","api.gouv.fr/149.202.190.28","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","api.gouv.fr/149.202.190.28","443","OK","h2","",""
"ALPN","api.gouv.fr/149.202.190.28","443","INFO","http/1.1","",""
"cipherlist_NULL","api.gouv.fr/149.202.190.28","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","api.gouv.fr/149.202.190.28","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","api.gouv.fr/149.202.190.28","443","OK","not offered","","CWE-327"
"cipherlist_LOW","api.gouv.fr/149.202.190.28","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","api.gouv.fr/149.202.190.28","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","api.gouv.fr/149.202.190.28","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","api.gouv.fr/149.202.190.28","443","OK","offered","",""
"cipherlist_STRONG_FS","api.gouv.fr/149.202.190.28","443","OK","offered","",""
"cipher_order-tls1_2","api.gouv.fr/149.202.190.28","443","OK","server","",""
"cipherorder_TLSv1_2","api.gouv.fr/149.202.190.28","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","api.gouv.fr/149.202.190.28","443","OK","server","",""
"FS","api.gouv.fr/149.202.190.28","443","OK","offered","",""
"FS_ciphers","api.gouv.fr/149.202.190.28","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","api.gouv.fr/149.202.190.28","443","OK","secp384r1 secp521r1","",""
"TLS_extensions","api.gouv.fr/149.202.190.28","443","INFO","'server name/#0' 'max fragment length/#1' 'status request/#5' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","api.gouv.fr/149.202.190.28","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","api.gouv.fr/149.202.190.28","443","INFO","yes","",""
"sessionresumption_ticket","api.gouv.fr/149.202.190.28","443","INFO","not supported","",""
"sessionresumption_ID","api.gouv.fr/149.202.190.28","443","INFO","supported","",""
"TLS_timestamp","api.gouv.fr/149.202.190.28","443","INFO","random","",""
"cert_compression","api.gouv.fr/149.202.190.28","443","INFO","N/A","",""
"clientAuth","api.gouv.fr/149.202.190.28","443","INFO","none","",""
"cert_numbers","api.gouv.fr/149.202.190.28","443","INFO","1","",""
"cert_signatureAlgorithm","api.gouv.fr/149.202.190.28","443","OK","SHA256 with RSA","",""
"cert_keySize","api.gouv.fr/149.202.190.28","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","api.gouv.fr/149.202.190.28","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","api.gouv.fr/149.202.190.28","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","api.gouv.fr/149.202.190.28","443","INFO","06F18B1A80983CEE11F5C50D640683ED2CCA","",""
"cert_serialNumberLen","api.gouv.fr/149.202.190.28","443","INFO","18","",""
"cert_fingerprintSHA1","api.gouv.fr/149.202.190.28","443","INFO","50320E3E72AADAA623957398C4D412E27598CE25","",""
"cert_fingerprintSHA256","api.gouv.fr/149.202.190.28","443","INFO","60AC20DFBB9B03363F479638F6A2EEB9C29CBBF92E1EB51F2A6A0E55DAA010F1","",""
