"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","anais.beta.gouv.fr/51.210.1.8","443","INFO","HTTP","",""
"pre_128cipher","anais.beta.gouv.fr/51.210.1.8","443","INFO","No 128 cipher limit bug","",""
"SSLv2","anais.beta.gouv.fr/51.210.1.8","443","OK","not offered","",""
"SSLv3","anais.beta.gouv.fr/51.210.1.8","443","OK","not offered","",""
"TLS1","anais.beta.gouv.fr/51.210.1.8","443","INFO","not offered","",""
"TLS1_1","anais.beta.gouv.fr/51.210.1.8","443","INFO","not offered","",""
"TLS1_2","anais.beta.gouv.fr/51.210.1.8","443","OK","offered","",""
"TLS1_3","anais.beta.gouv.fr/51.210.1.8","443","OK","offered with final","",""
"ALPN_HTTP2","anais.beta.gouv.fr/51.210.1.8","443","OK","h2","",""
"ALPN","anais.beta.gouv.fr/51.210.1.8","443","INFO","http/1.1","",""
"cipherlist_NULL","anais.beta.gouv.fr/51.210.1.8","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","anais.beta.gouv.fr/51.210.1.8","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","anais.beta.gouv.fr/51.210.1.8","443","OK","not offered","","CWE-327"
"cipherlist_LOW","anais.beta.gouv.fr/51.210.1.8","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","anais.beta.gouv.fr/51.210.1.8","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","anais.beta.gouv.fr/51.210.1.8","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","anais.beta.gouv.fr/51.210.1.8","443","INFO","not offered","",""
"cipherlist_STRONG","anais.beta.gouv.fr/51.210.1.8","443","OK","offered","",""
"cipher_order","anais.beta.gouv.fr/51.210.1.8","443","OK","server -- TLS 1.3 client determined","",""
"protocol_negotiated","anais.beta.gouv.fr/51.210.1.8","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","anais.beta.gouv.fr/51.210.1.8","443","OK","TLS_AES_128_GCM_SHA256, 521 bit ECDH (P-521)","",""
"cipherorder_TLSv1_2","anais.beta.gouv.fr/51.210.1.8","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","anais.beta.gouv.fr/51.210.1.8","443","OK","offered","",""
"FS_ciphers","anais.beta.gouv.fr/51.210.1.8","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","anais.beta.gouv.fr/51.210.1.8","443","OK","secp384r1 secp521r1","",""
"TLS_extensions","anais.beta.gouv.fr/51.210.1.8","443","INFO","'session ticket/#35' 'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","anais.beta.gouv.fr/51.210.1.8","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","anais.beta.gouv.fr/51.210.1.8","443","INFO","yes","",""
"sessionresumption_ticket","anais.beta.gouv.fr/51.210.1.8","443","INFO","not supported","",""
"sessionresumption_ID","anais.beta.gouv.fr/51.210.1.8","443","INFO","not supported","",""
"TLS_timestamp","anais.beta.gouv.fr/51.210.1.8","443","INFO","random","",""
"certificate_compression","anais.beta.gouv.fr/51.210.1.8","443","INFO","none","",""
"clientAuth","anais.beta.gouv.fr/51.210.1.8","443","INFO","none","",""
"cert_numbers","anais.beta.gouv.fr/51.210.1.8","443","INFO","1","",""
"cert_signatureAlgorithm","anais.beta.gouv.fr/51.210.1.8","443","OK","SHA384 with RSA","",""
"cert_keySize","anais.beta.gouv.fr/51.210.1.8","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","anais.beta.gouv.fr/51.210.1.8","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","anais.beta.gouv.fr/51.210.1.8","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","anais.beta.gouv.fr/51.210.1.8","443","INFO","16EC80F5B189774638CB149C13E8AD87","",""
"cert_serialNumberLen","anais.beta.gouv.fr/51.210.1.8","443","INFO","16","",""
"cert_fingerprintSHA1","anais.beta.gouv.fr/51.210.1.8","443","INFO","A066F566AB6D5F68E6F7619E64B0A4C5BBAAC3DE","",""
"cert_fingerprintSHA256","anais.beta.gouv.fr/51.210.1.8","443","INFO","4401B135692E4F9CB7D832AEE0154FC879571E94154FA38E89944B88B9E2B828","",""
