"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cje.beta.gouv.fr/109.232.233.130","443","INFO","HTTP","",""
"pre_128cipher","cje.beta.gouv.fr/109.232.233.130","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cje.beta.gouv.fr/109.232.233.130","443","OK","not offered","",""
"SSLv3","cje.beta.gouv.fr/109.232.233.130","443","OK","not offered","",""
"TLS1","cje.beta.gouv.fr/109.232.233.130","443","INFO","not offered","",""
"TLS1_1","cje.beta.gouv.fr/109.232.233.130","443","INFO","not offered","",""
"TLS1_2","cje.beta.gouv.fr/109.232.233.130","443","OK","offered","",""
"TLS1_3","cje.beta.gouv.fr/109.232.233.130","443","OK","offered with final","",""
"ALPN_HTTP2","cje.beta.gouv.fr/109.232.233.130","443","OK","h2","",""
"ALPN","cje.beta.gouv.fr/109.232.233.130","443","INFO","http/1.1","",""
"cipherlist_NULL","cje.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cje.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cje.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cje.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cje.beta.gouv.fr/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cje.beta.gouv.fr/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","cje.beta.gouv.fr/109.232.233.130","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cje.beta.gouv.fr/109.232.233.130","443","OK","offered","",""
"cipher_order-tls1_2","cje.beta.gouv.fr/109.232.233.130","443","OK","server","",""
"cipherorder_TLSv1_2","cje.beta.gouv.fr/109.232.233.130","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","cje.beta.gouv.fr/109.232.233.130","443","OK","server","",""
"FS","cje.beta.gouv.fr/109.232.233.130","443","OK","offered","",""
"FS_ciphers","cje.beta.gouv.fr/109.232.233.130","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","cje.beta.gouv.fr/109.232.233.130","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","cje.beta.gouv.fr/109.232.233.130","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","cje.beta.gouv.fr/109.232.233.130","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","cje.beta.gouv.fr/109.232.233.130","443","INFO","yes","",""
"sessionresumption_ticket","cje.beta.gouv.fr/109.232.233.130","443","INFO","not supported","",""
"sessionresumption_ID","cje.beta.gouv.fr/109.232.233.130","443","INFO","not supported","",""
"TLS_timestamp","cje.beta.gouv.fr/109.232.233.130","443","INFO","random","",""
"certificate_compression","cje.beta.gouv.fr/109.232.233.130","443","INFO","none","",""
"clientAuth","cje.beta.gouv.fr/109.232.233.130","443","INFO","none","",""
"cert_numbers","cje.beta.gouv.fr/109.232.233.130","443","INFO","1","",""
"cert_signatureAlgorithm","cje.beta.gouv.fr/109.232.233.130","443","OK","SHA256 with RSA","",""
"cert_keySize","cje.beta.gouv.fr/109.232.233.130","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","cje.beta.gouv.fr/109.232.233.130","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cje.beta.gouv.fr/109.232.233.130","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","cje.beta.gouv.fr/109.232.233.130","443","INFO","05D28BBA265303DEE4F500C2466EBBDBA862","",""
"cert_serialNumberLen","cje.beta.gouv.fr/109.232.233.130","443","INFO","18","",""
"cert_fingerprintSHA1","cje.beta.gouv.fr/109.232.233.130","443","INFO","525301C8AB2DCF8EC8219DB0BAB0CB626891F3CA","",""
"cert_fingerprintSHA256","cje.beta.gouv.fr/109.232.233.130","443","INFO","20D96A7A391EF9D4BEC0199028624E332090D41EF0AFACD4933F98249997870D","",""
