"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","passculture.pro/34.107.224.170","443","INFO","HTTP","",""
"pre_128cipher","passculture.pro/34.107.224.170","443","INFO","No 128 cipher limit bug","",""
"SSLv2","passculture.pro/34.107.224.170","443","OK","not offered","",""
"SSLv3","passculture.pro/34.107.224.170","443","OK","not offered","",""
"TLS1","passculture.pro/34.107.224.170","443","INFO","not offered","",""
"TLS1_1","passculture.pro/34.107.224.170","443","INFO","not offered","",""
"TLS1_2","passculture.pro/34.107.224.170","443","OK","offered","",""
"TLS1_3","passculture.pro/34.107.224.170","443","OK","offered with final","",""
"ALPN_HTTP2","passculture.pro/34.107.224.170","443","OK","h2","",""
"ALPN","passculture.pro/34.107.224.170","443","INFO","http/1.1grpc-exp","",""
"cipherlist_NULL","passculture.pro/34.107.224.170","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","passculture.pro/34.107.224.170","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","passculture.pro/34.107.224.170","443","OK","not offered","","CWE-327"
"cipherlist_LOW","passculture.pro/34.107.224.170","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","passculture.pro/34.107.224.170","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","passculture.pro/34.107.224.170","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","passculture.pro/34.107.224.170","443","INFO","not offered","",""
"cipherlist_STRONG_FS","passculture.pro/34.107.224.170","443","OK","offered","",""
"cipher_order-tls1_2","passculture.pro/34.107.224.170","443","OK","server","",""
"cipherorder_TLSv1_2","passculture.pro/34.107.224.170","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","passculture.pro/34.107.224.170","443","OK","server -- TLS 1.3 client determined","",""
"FS","passculture.pro/34.107.224.170","443","OK","offered","",""
"FS_ciphers","passculture.pro/34.107.224.170","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","passculture.pro/34.107.224.170","443","OK","prime256v1","",""
"TLS_extensions","passculture.pro/34.107.224.170","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","passculture.pro/34.107.224.170","443","LOW","valid for 100800 seconds (>daily)","",""
"SSL_sessionID_support","passculture.pro/34.107.224.170","443","INFO","yes","",""
"sessionresumption_ticket","passculture.pro/34.107.224.170","443","INFO","supported","",""
"sessionresumption_ID","passculture.pro/34.107.224.170","443","INFO","not supported","",""
"TLS_timestamp","passculture.pro/34.107.224.170","443","INFO","random","",""
"certificate_compression","passculture.pro/34.107.224.170","443","INFO","none","",""
"clientAuth","passculture.pro/34.107.224.170","443","INFO","none","",""
"cert_numbers","passculture.pro/34.107.224.170","443","INFO","1","",""
"cert_signatureAlgorithm","passculture.pro/34.107.224.170","443","OK","SHA256 with RSA","",""
"cert_keySize","passculture.pro/34.107.224.170","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","passculture.pro/34.107.224.170","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","passculture.pro/34.107.224.170","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","passculture.pro/34.107.224.170","443","INFO","3ACF16F144F7AB870D26CA565B51F40E","",""
"cert_serialNumberLen","passculture.pro/34.107.224.170","443","INFO","16","",""
"cert_fingerprintSHA1","passculture.pro/34.107.224.170","443","INFO","C9B5EAE8CF7A01C7E1993243C83333F34690262E","",""
"cert_fingerprintSHA256","passculture.pro/34.107.224.170","443","INFO","D74D9F51F830C94237F699E8DA207B4E7F91669CF9A55F7978F42ED74733CCCC","",""
