"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","maestro.beta.gouv.fr/80.247.12.255","443","INFO","HTTP","",""
"pre_128cipher","maestro.beta.gouv.fr/80.247.12.255","443","INFO","No 128 cipher limit bug","",""
"SSLv2","maestro.beta.gouv.fr/80.247.12.255","443","OK","not offered","",""
"SSLv3","maestro.beta.gouv.fr/80.247.12.255","443","OK","not offered","",""
"TLS1","maestro.beta.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"TLS1_1","maestro.beta.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"TLS1_2","maestro.beta.gouv.fr/80.247.12.255","443","OK","offered","",""
"TLS1_3","maestro.beta.gouv.fr/80.247.12.255","443","OK","offered with final","",""
"ALPN_HTTP2","maestro.beta.gouv.fr/80.247.12.255","443","OK","h2","",""
"ALPN","maestro.beta.gouv.fr/80.247.12.255","443","INFO","http/1.1","",""
"cipherlist_NULL","maestro.beta.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","maestro.beta.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","maestro.beta.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_LOW","maestro.beta.gouv.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","maestro.beta.gouv.fr/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","maestro.beta.gouv.fr/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","maestro.beta.gouv.fr/80.247.12.255","443","INFO","not offered","",""
"cipherlist_STRONG_FS","maestro.beta.gouv.fr/80.247.12.255","443","OK","offered","",""
"cipher_order-tls1_2","maestro.beta.gouv.fr/80.247.12.255","443","OK","server","",""
"cipherorder_TLSv1_2","maestro.beta.gouv.fr/80.247.12.255","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","maestro.beta.gouv.fr/80.247.12.255","443","OK","server","",""
"FS","maestro.beta.gouv.fr/80.247.12.255","443","OK","offered","",""
"FS_ciphers","maestro.beta.gouv.fr/80.247.12.255","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","maestro.beta.gouv.fr/80.247.12.255","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","maestro.beta.gouv.fr/80.247.12.255","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","maestro.beta.gouv.fr/80.247.12.255","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","maestro.beta.gouv.fr/80.247.12.255","443","INFO","yes","",""
"sessionresumption_ticket","maestro.beta.gouv.fr/80.247.12.255","443","INFO","supported","",""
"sessionresumption_ID","maestro.beta.gouv.fr/80.247.12.255","443","INFO","not supported","",""
"TLS_timestamp","maestro.beta.gouv.fr/80.247.12.255","443","INFO","random","",""
"certificate_compression","maestro.beta.gouv.fr/80.247.12.255","443","INFO","none","",""
"clientAuth","maestro.beta.gouv.fr/80.247.12.255","443","INFO","none","",""
"cert_numbers","maestro.beta.gouv.fr/80.247.12.255","443","INFO","1","",""
"cert_signatureAlgorithm","maestro.beta.gouv.fr/80.247.12.255","443","OK","SHA256 with RSA","",""
"cert_keySize","maestro.beta.gouv.fr/80.247.12.255","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","maestro.beta.gouv.fr/80.247.12.255","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","maestro.beta.gouv.fr/80.247.12.255","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","maestro.beta.gouv.fr/80.247.12.255","443","INFO","054A164E7BB0922D62C87D99293BF9CA521D","",""
"cert_serialNumberLen","maestro.beta.gouv.fr/80.247.12.255","443","INFO","18","",""
"cert_fingerprintSHA1","maestro.beta.gouv.fr/80.247.12.255","443","INFO","A4094C85FC022CD053DCBE4BE73C5170B88B6809","",""
"cert_fingerprintSHA256","maestro.beta.gouv.fr/80.247.12.255","443","INFO","C3A14FB768FB79B68ED0529161A88F8ED974615EA9E98DBC1AC4E84C2DB008F1","",""
