"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","HTTP","",""
"pre_128cipher","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","No 128 cipher limit bug","",""
"SSLv2","labonneboite.pole-emploi.fr/51.68.82.47","443","OK","not offered","",""
"SSLv3","labonneboite.pole-emploi.fr/51.68.82.47","443","OK","not offered","",""
"TLS1","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","not offered","",""
"TLS1_1","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","not offered","",""
"TLS1_2","labonneboite.pole-emploi.fr/51.68.82.47","443","OK","offered","",""
"TLS1_3","labonneboite.pole-emploi.fr/51.68.82.47","443","OK","offered with final","",""
"ALPN","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","http/1.1","",""
"cipherlist_NULL","labonneboite.pole-emploi.fr/51.68.82.47","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","labonneboite.pole-emploi.fr/51.68.82.47","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","labonneboite.pole-emploi.fr/51.68.82.47","443","OK","not offered","","CWE-327"
"cipherlist_LOW","labonneboite.pole-emploi.fr/51.68.82.47","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","labonneboite.pole-emploi.fr/51.68.82.47","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","labonneboite.pole-emploi.fr/51.68.82.47","443","OK","offered","",""
"cipherlist_STRONG_FS","labonneboite.pole-emploi.fr/51.68.82.47","443","OK","offered","",""
"cipher_order-tls1_2","labonneboite.pole-emploi.fr/51.68.82.47","443","OK","server","",""
"cipherorder_TLSv1_2","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","labonneboite.pole-emploi.fr/51.68.82.47","443","OK","server","",""
"FS","labonneboite.pole-emploi.fr/51.68.82.47","443","OK","offered","",""
"FS_ciphers","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","labonneboite.pole-emploi.fr/51.68.82.47","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","yes","",""
"sessionresumption_ticket","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","supported","",""
"sessionresumption_ID","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","supported","",""
"TLS_timestamp","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","random","",""
"certificate_compression","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","none","",""
"clientAuth","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","none","",""
"cert_numbers","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","1","",""
"cert_signatureAlgorithm","labonneboite.pole-emploi.fr/51.68.82.47","443","OK","SHA384 with RSA","",""
"cert_keySize","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","E100BBFA1C77D98BDAA4CC8ADF40ED21","",""
"cert_serialNumberLen","labonneboite.pole-emploi.fr/51.68.82.47","443","INFO","16","",""
