"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","messervices.cyber.gouv.fr/185.231.164.158","443","INFO","HTTP","",""
"pre_128cipher","messervices.cyber.gouv.fr/185.231.164.158","443","INFO","No 128 cipher limit bug","",""
"SSLv2","messervices.cyber.gouv.fr/185.231.164.158","443","OK","not offered","",""
"SSLv3","messervices.cyber.gouv.fr/185.231.164.158","443","OK","not offered","",""
"TLS1","messervices.cyber.gouv.fr/185.231.164.158","443","INFO","not offered","",""
"TLS1_1","messervices.cyber.gouv.fr/185.231.164.158","443","INFO","not offered","",""
"TLS1_2","messervices.cyber.gouv.fr/185.231.164.158","443","OK","offered","",""
"TLS1_3","messervices.cyber.gouv.fr/185.231.164.158","443","OK","offered with final","",""
"ALPN_HTTP2","messervices.cyber.gouv.fr/185.231.164.158","443","OK","h2","",""
"ALPN","messervices.cyber.gouv.fr/185.231.164.158","443","INFO","http/1.1","",""
"cipherlist_NULL","messervices.cyber.gouv.fr/185.231.164.158","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","messervices.cyber.gouv.fr/185.231.164.158","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","messervices.cyber.gouv.fr/185.231.164.158","443","OK","not offered","","CWE-327"
"cipherlist_LOW","messervices.cyber.gouv.fr/185.231.164.158","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","messervices.cyber.gouv.fr/185.231.164.158","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","messervices.cyber.gouv.fr/185.231.164.158","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","messervices.cyber.gouv.fr/185.231.164.158","443","INFO","not offered","",""
"cipherlist_STRONG_FS","messervices.cyber.gouv.fr/185.231.164.158","443","OK","offered","",""
"cipher_order-tls1_2","messervices.cyber.gouv.fr/185.231.164.158","443","OK","server","",""
"cipherorder_TLSv1_2","messervices.cyber.gouv.fr/185.231.164.158","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","messervices.cyber.gouv.fr/185.231.164.158","443","OK","server","",""
"FS","messervices.cyber.gouv.fr/185.231.164.158","443","OK","offered","",""
